nohup: ignoring input
[HPM] Proxy created: /  -> http://127.0.0.1:8000
🚀 ===============================================
🧠 Orbix Systems Server Iniciado
🌐 URL: http://localhost:3000
🔧 Puerto: 3000
✅ Estado: Activo y listo para recibir conexiones
===============================================
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/calculadora/tipos -> http://127.0.0.1:8000/api/calculadora/tipos
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/calculadora/tipos -> http://127.0.0.1:8000/api/calculadora/tipos
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/calculadora/tipos -> http://127.0.0.1:8000/api/calculadora/tipos
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/calculadora/tipos -> http://127.0.0.1:8000/api/calculadora/tipos
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/calculadora/tipos -> http://127.0.0.1:8000/api/calculadora/tipos
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/calculadora/tipos -> http://127.0.0.1:8000/api/calculadora/tipos
🔄 Proxy: GET /api/sentinel/metrics -> http://127.0.0.1:8000/api/sentinel/metrics
🔄 Proxy: GET /api/sentinel/events -> http://127.0.0.1:8000/api/sentinel/events
🔄 Proxy: GET /api/validaciones/tipos -> http://127.0.0.1:8000/api/validaciones/tipos
🔄 Proxy: GET /api/health -> http://127.0.0.1:8000/api/health
